,person,Sentiment score
0,Aaja Chemnitz Larsen,1081.7798095238113
1,Anders Samuelsen,41.67362219576721
2,Andreas Steenberg,338.3614743306881
3,Benny Engelbrecht,1012.9513675724913
4,Bjarne Laustsen,175.67103650793644
5,Brian Mikkelsen,945.094861997354
6,Carolina Magdalene Maier,761.4346534285705
7,Christian Juhl,1741.7137698197869
8,Christian Poll,824.6077788359763
9,Eva Flyvholm,654.8289111111119
10,Finn Sørensen,1883.8315982844053
11,Henning Hyllested,992.499542537037
12,Henrik Dahl,178.17100793650792
13,Holger K. Nielsen,655.8272544801582
14,Ida Auken,482.7746114021155
15,Jacob Mark,853.4364120714298
16,Jakob Sølvhøj,337.0871957671954
17,Johanne Schmidt-Nielsen,451.5038288346563
18,Jonas Dahl,595.8334830910043
19,Karsten Hønge,546.5822966349216
20,Lisbeth Bech Poulsen,1771.8442117484233
21,Lotte Rod,252.15904682539653
22,Mai Mercado,134.83783068783083
23,Malte Larsen,57.28041005291003
24,Maria Reumert Gjerding,915.4288347592611
25,Marianne Jelved,377.49577632804215
26,Martin Lidegaard,1637.8114593187852
27,May-Britt Kattrup,217.4230232804233
28,Merete Riisager,399.66127174603173
29,Mette Abildgaard,896.7716439550244
30,Mette Bock,1525.218986225997
31,Morten Østergaard,352.292588888889
32,Naser Khader,270.35041967724885
33,Nikolaj Villumsen,388.1612728529085
34,Peder Hvelplund,263.0518111111114
35,Pelle Dragsted,1345.1144307333318
36,Pernille Skipper,733.8186263015867
37,Pia Olsen Dyhr,512.1551975925929
38,Rasmus Helveg Petersen,52.65625661375659
39,Rasmus Jarlov,773.9950999455027
40,Rasmus Nordqvist,1507.2940070661384
41,René Gade,1081.4472940793648
42,Rune Lund,839.8975811957665
43,Simon Emil Ammitzbøll,813.9996050396837
44,Sofie Carsten Nielsen,864.716444706349
45,Stine Brix,409.2408778783066
46,Søren Egge Rasmussen,965.3125153439166
47,Søren Pape Poulsen,497.2072165767193
48,Søren Søndergaard,716.6037915202393
49,Trine Torp,552.069612142857
50,Uffe Elbæk,16.373333333333328
51,Villum Christensen,419.68111711640233
52,Zenia Stampe,303.4652759878302
