id,typeid,gruppenavnkort,navn,fornavn,efternavn,biografi,periodeid,opdateringsdato,startdato,slutdato
1,3,FIU,Finansudvalget,,,,32.0,2021-04-07T19:23:23.977,2013-10-01T00:00:00,2014-10-07T00:00:00
2,1,,Finansministeriet,,,,,2020-10-06T14:29:01.507,2001-11-27T00:00:00,
3,2,finansminister,finansministeren,,,,,2021-04-07T19:20:13.227,2019-06-27T00:00:00,
4,2,økonomi- og indenrigsminister,økonomi- og indenrigsministeren,,,,,2021-04-07T19:20:29.883,2014-09-02T00:00:00,2015-06-28T00:00:00
5,5,,Frank Aaen,Frank,Aaen,"<member><url>/medlemmer/mf/f/frank-aaen</url><status>1</status><profession>Statsrevisor, fhv. MF, økonom</profession><firstname>Frank</firstname><lastname>Aaen</lastname><party>Enhedslisten</party><partyShortname>EL</partyShortname><title>Frank Aaen (EL)</title><pictureMiRes>https://websccm40.ft.dk:443/-/media/cv/foto/20111/el/frank_aaen/frank_aaen_pdf,-d-,jpg.ashx</pictureMiRes><pictureHiRes>https://websccm40.ft.dk:443/-/media/cv/foto/20111/el/frank_aaen/frank_aaen.ashx</pictureHiRes><sex>Mand</sex><born>25-07-1951</born><died/><educationStatistic>LVU</educationStatistic><occupationStatistic>Privat</occupationStatistic><addresses><address>Folketinget, Christiansborg, 1240 København K</address></addresses><phoneFolketinget>+45 3337 5006</phoneFolketinget><emails><email>frank.aaen@ft.dk</email></emails><personalInformation><memberData><p>Frank Aaen, f&amp;oslash;dt 25. juli 1951 i N&amp;oslash;rresundby, s&amp;oslash;n af kommis Carlo Aaen og kontorassistent Betty Aaen.&amp;nbsp;Gift med Bibbe Jensen Aaen.</p></memberData><function><formattedTitle>Statsrevisor</formattedTitle><formattedTitles>Statsrevisor;Fhv. medlem af Folketinget</formattedTitles><functionStartDate>8. februar 2007</functionStartDate></function></personalInformation><career><constituencies><constituency>Folketingsmedlem for Enhedslisten i Københavns Omegns Storkreds 13. november 2007 - 18. juni 2015.</constituency><constituency>Folketingsmedlem for Enhedslisten i Århus Amtskreds 8. februar 2005 - 13. november 2007.</constituency><constituency>Folketingsmedlem for Enhedslisten i Nordjyllands Amtskreds 21. september 1994 - 20. november 2001.</constituency></constituencies><nominations><nomination>Kandidat for Enhedslisten i Gladsaxekredsen 2007-2015.</nomination><nomination>Kandidat for Enhedslisten i Århus Østkredsen 2004-2006.</nomination><nomination>Kandidat for Enhedslisten i Aalborg Østkredsen 1990-2001.</nomination></nominations><auditors><auditor>Statsrevisor fra 1. oktober 2018.</auditor></auditors></career><educations><education>Student, Aalborghus Statsgymnasium, 1967-1971.</education><education>Folkeskole, Rantzausgade Skole, 1958-1967.</education><education>Cand.oecon., Aalborg Universitetscenter, 1974-1985 (orlov 1977-1982),.</education></educations><occupations><occupation>Økonom og sektionsleder, Det Kommunale Kartel, 1992-1994.</occupation><occupation>Freelanceøkonom, 1990-1992.</occupation><occupation>Politisk redaktør, Land og Folk, 1986-1989.</occupation></occupations><positionsOfTrust><editorFormattedText>Formand for Kommunistiske Studenter 1977-1982. Formand for Foreningen af Kritiske Aktionærer fra 1998.</editorFormattedText></positionsOfTrust><publications><editorFormattedText>Har skrevet »Hvor dansk er dansk elektronikindustri «, Aalborg Universitetsforlag, 1986, »Den danske  elektronikbranche« med Lajla Klamer, CASA, 1993, »Venstrefløjen satte dagsordenen« bidrag til antologien »Idealisme eller fanatisme«, Forum, 2003, »Forsørgerbyrden – et politisk valg«, Overenskomstkampagnen 2004 og Fagligt Ansvar, 2004, »Privatiseringer og udliciteringer i Danmark – gennem 20 år« bidrag til antologien »Velfærd på aktier«, Fagligt Ansvar, 2004, »De store firmaers magt?« bidrag til antologien »Magt.dk – kritik af magtudredningen «, 2004, »Pensionsopsparing – fra ØD til frit valg« med Henning Hansen, CASA, 2005, og »Større ulighed« bidrag til antologien »Økonomi og samfund 2007«, Frydenlund, 2006.</editorFormattedText></publications></member>",,2021-03-10T11:22:33.643,2018-10-01T00:00:00,
6,11,Folketinget,Folketinget,,,,32.0,2021-04-07T19:23:32.277,2013-10-01T00:00:00,2014-10-07T00:00:00
7,10,,Folketinget,Folketinget,,,,2015-11-27T15:21:03.267,,
8,2,forsvarsminister,forsvarsministeren,,,,,2021-04-07T19:21:55.57,2004-04-24T00:00:00,2010-02-23T00:00:00
9,3,FOU,Forsvarsudvalget,,,,32.0,2021-04-07T19:22:33.377,2013-10-01T00:00:00,2014-10-07T00:00:00
10,3,GRU,Grønlandsudvalget,,,,32.0,2021-04-07T19:22:20.153,2013-10-01T00:00:00,2014-10-07T00:00:00
11,1,,Forsvarsministeriet,,,,,2020-10-06T14:29:04.467,2004-04-24T00:00:00,
12,5,,Nicolai Wammen,Nicolai,Wammen,"<member><url>/medlemmer/mf/n/nicolai-wammen</url><status>1</status><profession>Finansminister</profession><firstname>Nicolai</firstname><lastname>Wammen</lastname><party>Socialdemokratiet</party><partyShortname>S</partyShortname><title>Nicolai Wammen (S)</title><pictureMiRes>https://master-ft.ft.dk:443/-/media/cv/foto/20111/s/nicolai_wammen/nicolai_wammen_pdf,-d-,jpg.ashx</pictureMiRes><pictureHiRes>https://master-ft.ft.dk:443/-/media/cv/foto/20111/s/nicolai_wammen/nicolai_wammen.ashx</pictureHiRes><sex>Mand</sex><born>07-02-1971</born><died/><educationStatistic>LVU</educationStatistic><occupationStatistic>Uden</occupationStatistic><addresses><address>Finansministeriet, Christiansborg Slotsplads 1, 1218 København K</address></addresses><ministerPhone>+45 3392 3333</ministerPhone><emails><email>minister@fm.dk</email></emails><personalInformation><memberData><p>Nicolai Halby Wammen, f&amp;oslash;dt 7. februar 1971, s&amp;oslash;n af journalist Christian Frederik Wammen og talep&amp;aelig;dagog Lotte Halby Wammen. Gift med Karen Lund Wammen. Far til Carl og Christian.</p></memberData><function><formattedTitle>Medlem af Folketinget</formattedTitle><formattedTitles>Medlem af Folketinget;Minister;Tidligere minister;Fhv. medlem af Folketinget</formattedTitles><functionStartDate>20. november 2001</functionStartDate></function></personalInformation><career><ministers><minister>Finansminister fra 27. juni 2019.</minister><minister>Forsvarsminister 9. august 2013 - 28. juni 2015.</minister><minister>Europaminister 3. oktober 2011 - 9. august 2013.</minister></ministers><currentConstituency>Folketingsmedlem for Socialdemokratiet i Østjyllands Storkreds fra 15. september 2011.</currentConstituency><constituencies><constituency>Folketingsmedlem for Socialdemokratiet i Århus Amtskreds 20. november 2001 - 8. februar 2005.</constituency></constituencies><nominations><nomination>Kandidat for Socialdemokratiet i Aarhus Sydkredsen fra 2010.</nomination><nomination>Kandidat for Socialdemokratiet i Skanderborgkredsen 1997-2004.</nomination></nominations><parliamentaryPositionsOfTrust><parliamentaryPositionOfTrust>Politisk ordfører 2015-2019.</parliamentaryPositionOfTrust><parliamentaryPositionOfTrust>Næstformand for Socialdemokratiet 2005-2011.</parliamentaryPositionOfTrust></parliamentaryPositionsOfTrust></career><educations><education>Cand.scient.pol., Aarhus Universitet, 2001-2001.</education><education>Student, Marselisborg Gymnasium, 1991-1991.</education><education>High schoolophold, i Massachusetts, USA, 1987-1988.</education><education>10. klasse, Brobjergskolen i Aarhus, 1987-1987.</education></educations><positionsOfTrust><positionOfTrust>Borgmester i Aarhus Kommune 2006-2011.</positionOfTrust><positionOfTrust>Medlem af byrådet i Aarhus Kommune (orlov 2001-2005) 1998-2011.</positionOfTrust></positionsOfTrust><websites><websiteUrl><url>https://www.fm.dk/</url><desciption>www.fm.dk/</desciption><linkType>external</linkType></websiteUrl></websites></member>",,2021-04-07T19:20:35.493,2015-10-06T00:00:00,
13,5,,Sara Olsvig,Sara,Olsvig,"<member><url>/medlemmer/mf/s/sara-olsvig</url><status>0</status><formattedDateLongMonth>19. juni 2015</formattedDateLongMonth><profession/><firstname>Sara</firstname><lastname>Olsvig</lastname><party>Inuit Ataqatigiit</party><partyShortname>IA</partyShortname><title>Sara Olsvig (IA)</title><pictureMiRes>https://websccm40.ft.dk:443/-/media/cv/foto/20111/na/sara_olsvig/sara_olsvig_pdf,-d-,jpg.ashx</pictureMiRes><pictureHiRes>https://websccm40.ft.dk:443/-/media/cv/foto/20111/na/sara_olsvig/sara_olsvig.ashx</pictureHiRes><sex>Kvinde</sex><born>26-09-1978</born><died/><educationStatistic>LVU</educationStatistic><occupationStatistic>Privat</occupationStatistic><addresses><address>Folketinget, Christiansborg, 1240 København K</address></addresses><personalInformation><memberData><p>Sara Olsvig, f&amp;oslash;dt 26. september 1978 i Nuuk, datter af skoleleder Lars Olsvig og museumsleder Anne Mette Olsvig.&amp;nbsp;Har datteren Navarana.</p></memberData><function><formattedTitle>Fhv. medlem af Folketinget</formattedTitle><formattedTitles>Fhv. medlem af Folketinget</formattedTitles><functionStartDate>18. juni 2015</functionStartDate></function></personalInformation><career><constituencies><constituency>Folketingsmedlem for Inuit Ataqatigiit i Grønland 15. september 2011 - 18. juni 2015.</constituency></constituencies><nominations><nomination>Kandidat for Inuit Ataqatigiit i Grønland 2011-2015.</nomination></nominations><parliamentaryPositionsOfTrust><editorFormattedText><p>Medlem af Grønlands Landsting fra 2013. Formand for Grønlandsudvalget 2011-2015. Medlem Miljøudvalget, Forsvarsudvalget og Det Udenrigspolitiske Nævn 2011-2015. Stedfortræder i Nordisk Råd 2011-2015. Folketingets repræsentant i Standing Committee of Parliamentarians of the Arctic Region (Arktiske Parlamentarikere) 2011-2015, formand fra 2013.</p></editorFormattedText></parliamentaryPositionsOfTrust></career><educations><education>Antropolog, cand.scient.anth., Københavns Universitet, 2008-2008.</education><education>Bachelor i kultur- og samfundshistorie, Ilisimatusarfik, 2002-2002.</education><education>Hf-student, Frederikshavns Gymnasium, 1998-1998.</education><education>Ubefaren skibsassistent, Skoleskibet Georg Stage, 1996-1996.</education></educations><occupations><occupation>Coordinator of Human Rights Issues og senest Executive Director for ICC Greenland, 2009-2011.</occupation><occupation>Medarbejder, Den Nordatlantiske Gruppe, 2007-2009.</occupation><occupation>Mødedeltagelse i FN på vegne af ICC, 2005-2011.</occupation><occupation>Studentermedarbejder, Nordatlantens Brygge, 2004-2006.</occupation><occupation>Projektansat, Danmarks Miljøundersøgelser, 2002-2003.</occupation><occupation>Studentermedhjælp, Grønlands Naturinstitut, 1998-2001.</occupation></occupations><positionsOfTrust><editorFormattedText>Bestyrelsesmedlem i Det Grønlandske Selskab og IKIU – den selvejende retshjælpsinstitution i Grønland fra 2013. Forhandler hos Organisationen for Grønlandske Studerende - Avalak (dengang DKIK) 2002–2003.</editorFormattedText></positionsOfTrust><publications><editorFormattedText>Har deltaget i den offentlige debat med artikler og oplæg.</editorFormattedText></publications></member>",,2020-12-14T11:46:41.793,,
14,2,undervisningsminister,undervisningsministeren,,,,,2021-04-07T19:13:59.033,2013-08-09T00:00:00,2015-06-28T00:00:00
15,3,BUU,Børne- og Undervisningsudvalget,,,,32.0,2021-04-07T19:22:56.747,2013-10-01T00:00:00,2014-10-07T00:00:00
16,1,,Undervisningsministeriet,,,,,2015-10-02T14:15:48.623,,
