id,type,opdateringsdato
1,Ministerområde,2015-08-13T11:22:10.49
2,Ministertitel,2015-08-13T10:47:17.533
3,Udvalg,2015-07-03T12:30:41.907
4,Folketingsgruppe,2015-05-11T13:25:06.573
5,Person,2015-07-23T14:08:13.347
6,Gruppe,2014-08-06T14:43:17.187
7,Anden gruppe,2014-08-06T14:43:17.187
8,Ministerium,2014-08-06T14:43:17.187
9,Kommission,2015-06-02T14:57:33.623
10,Organisation,2015-07-15T13:11:55.147
11,Parlamentarisk forsamling,2015-06-03T13:28:02.543
12,Privatperson,2015-07-09T13:39:05.05
13,Tværpolitisk netværk,2020-10-05T16:15:21.907
